time,pitch,duration,velocity,pitch_str
0,62,2,100,D4
2,59,4,100,B3
2,67,2,100,G4
4,67,2,100,G4
6,55,4,100,G3
6,71,2,100,B4
8,71,2,100,B4
10,54,2,100,F#3
10,69,2,100,A4
12,52,2,100,E3
12,67,2,100,G4
14,54,2,100,F#3
14,69,2,100,A4
16,55,2,100,G3
16,71,2,100,B4
18,50,6,100,D3
18,69,2,100,A4
20,67,2,100,G4
22,71,2,100,B4
24,50,2,100,D3
24,66,2,100,F#4
24,69,2,100,A4
26,55,6,100,G3
26,59,6,100,B3
26,67,6,100,G4
32,69,2,100,A4
34,55,4,100,G3
34,71,2,100,B4
36,69,2,100,A4
38,59,4,100,B3
38,67,2,100,G4
40,71,2,100,B4
42,55,4,100,G3
42,59,6,100,B3
42,71,4,100,B4
42,74,2,100,D5
42,74,4,100,D5
44,72,2,100,C5
46,54,4,100,F#3
46,69,4,100,A4
46,71,2,100,B4
46,74,4,100,D5
48,54,2,100,F#3
48,69,2,100,A4
50,52,4,100,E3
50,67,4,100,G4
50,76,4,100,E5
54,57,4,100,A3
54,67,4,100,G4
54,74,2,100,D5
56,73,2,100,C#5
58,50,6,100,D3
58,66,6,100,F#4
58,74,6,100,D5
64,71,2,100,B4
66,59,4,100,B3
66,74,2,100,D5
68,71,2,100,B4
70,55,4,100,G3
70,67,2,100,G4
72,71,2,100,B4
74,59,4,100,B3
74,62,6,100,D4
74,67,4,100,G4
74,69,2,100,A4
74,74,4,100,D5
76,67,2,100,G4
78,60,4,100,C4
78,64,4,100,E4
78,69,2,100,A4
78,72,4,100,C5
80,59,2,100,B3
80,71,2,100,B4
82,62,6,100,D4
82,71,3,100,B4
85,72,1,100,C5
86,69,2,100,A4
88,50,2,100,D3
88,66,2,100,F#4
88,69,2,100,A4
90,55,6,100,G3
90,59,6,100,B3
90,67,6,100,G4
